City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bredasdorp,ZA,-34.5322,20.0403,62.6,77,100,3.44,overcast clouds
1,Belaya Gora,RU,68.5333,146.4167,-12.62,90,100,7.85,overcast clouds
2,Notodden,NO,59.5594,9.2585,28.99,53,8,4.85,clear sky
3,Hilo,US,19.7297,-155.09,73.99,78,90,11.5,light rain
4,Mataura,NZ,-46.1927,168.8643,55.0,63,92,13.0,overcast clouds
5,Upernavik,GL,72.7868,-56.1549,-18.96,82,0,12.62,clear sky
6,Tasiilaq,GL,65.6145,-37.6368,33.8,86,90,36.82,snow
7,Busselton,AU,-33.65,115.3333,64.0,87,100,1.01,overcast clouds
8,Noyon,FR,49.5833,3.0,37.0,86,0,8.05,clear sky
9,Beyneu,KZ,45.3167,55.2,28.76,89,0,10.67,clear sky
10,Bulungu,CD,-4.55,18.6,68.0,96,69,2.21,broken clouds
11,Sulangan,PH,11.1373,123.7228,80.26,78,83,16.51,broken clouds
12,Punta Arenas,CL,-53.15,-70.9167,48.2,57,40,34.52,scattered clouds
13,Victoria,HK,22.2855,114.1577,66.0,92,84,1.99,broken clouds
14,Mar Del Plata,AR,-38.0023,-57.5575,78.8,47,0,8.05,clear sky
15,Albany,US,42.6001,-73.9662,34.0,35,53,7.0,broken clouds
16,Vaini,TO,-21.2,-175.2,82.4,89,75,10.36,light rain
17,Salalah,OM,17.0151,54.0924,78.8,57,0,4.61,clear sky
18,Cabedelo,BR,-6.9811,-34.8339,84.2,74,20,11.5,few clouds
19,New Norfolk,AU,-42.7826,147.0587,54.0,85,100,2.04,overcast clouds
20,Rikitea,PF,-23.1203,-134.9692,80.53,79,100,19.89,moderate rain
21,Nome,US,64.5011,-165.4064,30.2,93,90,14.97,mist
22,Livingstonia,MW,-10.606,34.1063,65.43,96,100,4.38,light rain
23,Cayenne,GF,4.9333,-52.3333,82.4,83,75,12.66,broken clouds
24,Jamestown,US,42.097,-79.2353,30.0,90,1,8.68,clear sky
25,Ponta Do Sol,PT,32.6667,-17.1,59.0,75,65,1.99,broken clouds
26,Soure,BR,-0.7167,-48.5233,77.29,89,100,6.2,overcast clouds
27,Beringovskiy,RU,63.05,179.3167,19.98,92,56,17.92,broken clouds
28,Praia,CV,14.9215,-23.5087,68.0,77,0,24.16,clear sky
29,Husavik,IS,66.0449,-17.3389,30.2,86,0,1.14,clear sky
30,Sibu,MY,2.3,111.8167,75.2,100,40,0.67,scattered clouds
31,Faanui,PF,-16.4833,-151.75,81.9,76,100,19.82,light rain
32,Lebu,CL,-37.6167,-73.65,64.67,82,76,14.7,broken clouds
33,Khatanga,RU,71.9667,102.5,-28.98,85,87,7.9,overcast clouds
34,Cherskiy,RU,68.75,161.3,-23.1,87,100,4.56,overcast clouds
35,San Patricio,US,28.017,-97.5169,71.6,43,1,17.27,clear sky
36,Chokurdakh,RU,70.6333,147.9167,-14.13,89,100,11.95,overcast clouds
37,Kirakira,SB,-10.4544,161.9205,81.63,78,100,4.03,heavy intensity rain
38,Dunedin,NZ,-45.8742,170.5036,51.01,69,62,18.01,broken clouds
39,Silvania,BR,-16.6589,-48.6081,78.8,61,75,3.44,broken clouds
40,Toma,BF,12.7667,-2.8833,90.55,29,71,5.77,broken clouds
41,Benjamin Hill,MX,30.1667,-111.1,84.99,25,20,5.99,few clouds
42,Iqaluit,CA,63.7506,-68.5145,-2.2,71,90,11.5,overcast clouds
43,Kutum,SD,14.2,24.6667,64.62,18,21,13.62,few clouds
44,Namibe,AO,-15.1961,12.1522,76.3,81,62,4.07,broken clouds
45,Faya,SA,18.3851,42.4509,60.8,59,0,5.75,clear sky
46,Foz,ES,43.5692,-7.2544,48.99,89,100,14.0,overcast clouds
