City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hermanus,ZA,2021-03-04 20:42:55,-34.4187,19.2345,59.0,91,79,6.51
1,Cap Malheureux,MU,2021-03-04 20:42:55,-19.9842,57.6142,75.0,81,78,4.0
2,Busselton,AU,2021-03-04 20:42:55,-33.65,115.3333,66.99,99,87,6.78
3,Sharjah,AE,2021-03-04 20:42:55,25.3573,55.4033,78.8,56,0,2.3
4,Hithadhoo,MV,2021-03-04 20:42:56,-0.6,73.0833,82.83,70,72,8.77
5,Tuktoyaktuk,CA,2021-03-04 20:42:56,69.4541,-133.0374,-20.2,76,20,8.05
6,Yellowknife,CA,2021-03-04 20:42:56,62.456,-114.3525,-5.01,71,90,13.8
7,Fortuna,US,2021-03-04 20:42:56,40.5982,-124.1573,61.0,51,51,8.99
8,Grong,NO,2021-03-04 20:42:57,64.4654,12.3149,30.2,93,75,5.75
9,Castro,BR,2021-03-04 20:42:57,-24.7911,-50.0119,64.36,96,100,7.94
10,Qaanaaq,GL,2021-03-04 20:42:57,77.484,-69.3632,-23.62,65,0,8.16
11,Bluff,NZ,2021-03-04 20:42:58,-46.6,168.3333,55.99,72,99,5.99
12,Ushuaia,AR,2021-03-04 20:39:54,-54.8,-68.3,59.0,51,40,2.3
13,Cape Town,ZA,2021-03-04 20:38:54,-33.9258,18.4232,66.99,63,0,12.66
14,Mataura,NZ,2021-03-04 20:42:58,-46.1927,168.8643,55.99,72,100,5.99
15,Inirida,CO,2021-03-04 20:42:59,3.8653,-67.9239,88.29,58,63,2.55
16,Albany,US,2021-03-04 20:42:59,42.6001,-73.9662,33.01,32,0,5.01
17,Samarai,PG,2021-03-04 20:42:59,-10.6167,150.6667,82.31,70,100,11.45
18,Ribeira Grande,PT,2021-03-04 20:42:59,38.5167,-28.7,55.4,62,20,4.61
19,Rudnogorsk,RU,2021-03-04 20:42:59,57.2639,103.7519,-10.52,91,100,3.42
20,Berlevag,NO,2021-03-04 20:43:00,70.8578,29.0864,26.6,74,75,12.66
21,Avarua,CK,2021-03-04 20:43:00,-21.2078,-159.775,80.6,83,40,11.5
22,Namibe,AO,2021-03-04 20:43:00,-15.1961,12.1522,75.83,82,89,2.51
23,Lagos,NG,2021-03-04 20:43:00,6.5833,3.75,84.2,84,20,10.36
24,Punta Arenas,CL,2021-03-04 20:42:17,-53.15,-70.9167,64.4,29,0,17.27
25,Seoul,KR,2021-03-04 20:38:13,37.5683,126.9778,35.6,93,0,3.44
26,Rikitea,PF,2021-03-04 20:43:01,-23.1203,-134.9692,79.99,76,44,3.15
27,Ponta Do Sol,PT,2021-03-04 20:43:02,32.6667,-17.1,60.01,74,48,3.0
28,Kapaa,US,2021-03-04 20:43:02,22.0752,-159.319,72.0,73,75,18.41
29,Farmington,US,2021-03-04 20:40:45,36.7281,-108.2187,46.99,61,40,13.8
30,Carnarvon,AU,2021-03-04 20:43:02,-24.8667,113.6333,69.8,100,40,5.75
31,Dhali,IN,2021-03-04 20:43:03,10.5,77.1667,75.2,53,0,4.61
32,Hami,CN,2021-03-04 20:43:03,42.8,93.45,34.18,34,76,7.14
33,Coihaique,CL,2021-03-04 20:43:03,-45.5752,-72.0662,77.0,33,0,6.91
34,Ilulissat,GL,2021-03-04 20:43:03,69.2167,-51.1,24.8,74,40,4.61
35,Klaksvik,FO,2021-03-04 20:43:03,62.2266,-6.589,32.0,86,10,4.61
36,Urengoy,RU,2021-03-04 20:43:04,65.9667,78.3667,8.06,95,100,11.59
37,Port Alfred,ZA,2021-03-04 20:43:04,-33.5906,26.891,69.01,88,28,3.0
38,Saldanha,ZA,2021-03-04 20:43:04,-33.0117,17.9442,62.6,72,0,6.91
39,Huanren,CN,2021-03-04 20:43:05,41.2647,125.3667,35.47,89,100,3.53
40,Port Elizabeth,ZA,2021-03-04 20:43:05,-33.918,25.5701,69.8,88,75,14.97
41,Raseiniai,LT,2021-03-04 20:43:05,55.3736,23.1217,23.0,80,0,8.05
42,Hobyo,SO,2021-03-04 20:43:06,5.3505,48.5268,77.86,78,100,18.05
43,Luderitz,NA,2021-03-04 20:43:06,-26.6481,15.1594,71.02,58,0,16.82
44,Vila Nova De Milfontes,PT,2021-03-04 20:43:06,37.7238,-8.7828,55.0,92,100,4.0
45,Scarborough,GB,2021-03-04 20:43:07,54.2797,-0.4044,39.0,70,100,4.0
46,Bendigo,AU,2021-03-04 20:39:15,-36.7667,144.2833,53.01,73,0,5.73
47,Shuangcheng,CN,2021-03-04 20:43:07,45.35,126.2833,17.6,73,75,22.37
48,Codrington,AU,2021-03-04 20:43:07,-38.2667,141.9667,57.04,70,98,11.61
49,Ahipara,NZ,2021-03-04 20:43:08,-35.1667,173.1667,68.23,69,4,4.34
50,Kuandian,CN,2021-03-04 20:43:08,40.7286,124.7847,35.42,94,100,0.96
51,Port Lincoln,AU,2021-03-04 20:43:09,-34.7333,135.8667,61.39,83,86,15.05
52,Provideniya,RU,2021-03-04 20:43:09,64.3833,-173.3,12.06,91,100,7.87
53,Koungheul,SN,2021-03-04 20:43:09,13.9833,-14.8,88.74,14,0,7.87
54,New Norfolk,AU,2021-03-04 20:43:09,-42.7826,147.0587,52.0,63,58,1.01
55,Karaton,ID,2021-03-04 20:43:10,-6.3424,106.1045,81.0,83,20,5.75
56,Port Hardy,CA,2021-03-04 20:43:10,50.6996,-127.4199,48.2,71,90,29.93
57,Coahuayana,MX,2021-03-04 20:43:11,18.7333,-103.6833,86.0,32,1,7.31
58,Merrill,US,2021-03-04 20:43:11,45.1805,-89.6835,37.99,41,1,2.3
59,Valleyview,CA,2021-03-04 20:43:11,55.0667,-117.2859,37.4,60,70,4.61
60,Port Keats,AU,2021-03-04 20:43:12,-14.25,129.55,82.53,86,93,7.92
61,Puerto Ayora,EC,2021-03-04 20:43:12,-0.7393,-90.3518,84.2,79,40,9.22
62,Oksfjord,NO,2021-03-04 20:43:12,70.2396,22.3479,26.6,74,75,4.61
63,Teshie,GH,2021-03-04 20:43:13,5.5836,-0.1072,84.2,89,40,17.27
64,Sompeta,IN,2021-03-04 20:43:13,18.9333,84.6,73.11,63,35,8.86
65,Faya,SA,2021-03-04 20:43:13,18.3851,42.4509,60.8,88,0,5.75
66,Atuona,PF,2021-03-04 20:43:13,-9.8,-139.0333,80.02,74,1,12.82
67,Butaritari,KI,2021-03-04 20:43:13,3.0707,172.7902,81.68,79,97,19.35
68,Gashua,NG,2021-03-04 20:43:14,12.871,11.0482,75.18,17,0,9.57
69,Koumac,NC,2021-03-04 20:43:14,-20.5667,164.2833,79.9,77,77,9.71
70,Yar-Sale,RU,2021-03-04 20:43:14,66.8333,70.8333,9.41,96,100,7.45
71,Goderich,CA,2021-03-04 20:43:15,43.7501,-81.7165,21.2,68,1,18.41
72,Lompoc,US,2021-03-04 20:43:15,34.6391,-120.4579,61.0,51,1,11.5
73,Bethel,US,2021-03-04 20:38:40,41.3712,-73.414,39.2,35,75,14.97
74,Pisco,PE,2021-03-04 20:43:15,-13.7,-76.2167,82.4,61,20,8.05
75,Porto Walter,BR,2021-03-04 20:43:16,-8.2686,-72.7439,81.37,92,100,2.39
76,Esperance,AU,2021-03-04 20:38:30,-33.8667,121.9,64.4,88,75,6.91
77,Dandong,CN,2021-03-04 20:43:16,40.1292,124.3947,38.28,96,99,4.56
78,Bandarbeyla,SO,2021-03-04 20:43:16,9.4942,50.8122,76.03,79,100,10.74
79,Saint-Pierre,RE,2021-03-04 20:43:17,-21.3393,55.4781,78.8,78,20,4.61
80,Muriae,BR,2021-03-04 20:43:17,-21.1306,-42.3664,77.54,84,67,2.26
81,Nikolskoye,RU,2021-03-04 20:43:17,59.7035,30.7861,26.6,59,75,13.42
82,Suriapet,IN,2021-03-04 20:43:17,17.15,79.6167,67.37,63,0,4.52
83,Arraial Do Cabo,BR,2021-03-04 20:43:18,-22.9661,-42.0278,86.0,65,0,14.97
84,Svetlyy,RU,2021-03-04 20:43:18,54.675,20.1347,33.8,69,20,13.42
85,Portland,US,2021-03-04 20:40:35,45.5234,-122.6762,59.0,54,40,14.97
86,Kahului,US,2021-03-04 20:43:19,20.8947,-156.47,75.2,57,20,16.11
87,San Rafael,AR,2021-03-04 20:43:19,-34.6177,-68.3301,93.02,21,22,12.73
88,Las Vegas,US,2021-03-04 20:41:46,36.175,-115.1372,64.99,27,1,12.66
89,Lavrentiya,RU,2021-03-04 20:43:20,65.5833,-171.0,2.79,93,100,26.26
90,Norman Wells,CA,2021-03-04 20:43:20,65.282,-126.8329,-9.4,77,75,8.05
91,Tezu,IN,2021-03-04 20:43:20,27.9167,96.1667,64.4,49,100,2.35
92,Vestmannaeyjar,IS,2021-03-04 20:43:21,63.4427,-20.2734,40.46,74,77,5.68
93,San-Pedro,CI,2021-03-04 20:43:21,4.7485,-6.6363,78.94,88,54,8.88
94,Torbay,CA,2021-03-04 20:43:21,47.6666,-52.7314,34.0,74,75,19.57
95,Kankan,GN,2021-03-04 20:43:22,10.3854,-9.3057,89.33,20,37,3.18
96,Thompson,CA,2021-03-04 20:43:22,55.7435,-97.8558,26.6,59,20,3.4
97,Christchurch,NZ,2021-03-04 20:41:00,-43.5333,172.6333,50.0,87,2,1.14
